"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842382","Having a maximum weighing capacity exceeding 30 kg but not exceeding 5 000 kg","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842389","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842390","Weighing machine weights of all kinds; parts of weighing machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842410","Fire extinguishers, whether or not charged","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842420","Spray guns and similar appliances","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842430","Steam or sand blasting machines and similar jet projecting machines","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842481","Agricultural or horticultural","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842489","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","0"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842490","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","0"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842511","Powered by electric motor","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842519","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842531","Powered by electric motor","A","Annual","A","Annual","PCT","Percent","2016","","","","7.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842539","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","7.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842541","Builtin jacking systems of a type used in garages","A","Annual","A","Annual","PCT","Percent","2016","","","","3"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842542","Other jacks and hoists, hydraulic","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842549","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","7.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842611","Overhead travelling cranes on fixed support","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842612","Mobile lifting frames on tyres and straddle carriers","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842619","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","8.33333333333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842620","Tower cranes","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842630","Portal or pedestal jib cranes","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842641","On tyres","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842649","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","10.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842691","Designed for mounting on road vehicles","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842699","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842710","Selfpropelled trucks powered by an electric motor","A","Annual","A","Annual","PCT","Percent","2016","","","","9"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842720","Other selfpropelled trucks","A","Annual","A","Annual","PCT","Percent","2016","","","","9"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842790","Other trucks","A","Annual","A","Annual","PCT","Percent","2016","","","","9"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842810","Lifts and skip hoists","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842820","Pneumatic elevators and conveyors","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842831","Specially designed for underground use","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842832","Other, bucket type","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842833","Other, belt type","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842839","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842840","Escalators and moving walkways","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842860","Teleferics, chairlifts, skidraglines; traction mechanisms for funiculars","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842890","Other machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","5.83333333333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842911","Track laying","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842919","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842920","Graders and levellers","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842930","Scrapers","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842940","Tamping machines and road rollers","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842951","Frontend shovel loaders","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842952","Machinery with a 360° revolving superstructure","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","842959","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843010","Piledrivers and pileextractors","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843020","Snowploughs and snowblowers","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843031","Selfpropelled","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843039","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843041","Selfpropelled","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843049","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843050","Other machinery, selfpropelled","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843061","Tamping or compacting machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843069","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843110","Of machinery of heading 84.25","A","Annual","A","Annual","PCT","Percent","2016","","","","3"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843120","Of machinery of heading 84.27","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843131","Of lifts, skip hoists or escalators","A","Annual","A","Annual","PCT","Percent","2016","","","","3"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843139","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843141","Buckets, shovels, grabs and grips","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843142","Bulldozer or angledozer blades","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843143","Parts for boring or sinking machinery of subheading 8430.41 or 8430.49","A","Annual","A","Annual","PCT","Percent","2016","","","","4.33333333333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843149","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843210","Ploughs","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843221","Disc harrows","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843229","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843230","Seeders, planters and transplanters","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843240","Manure spreaders and fertiliser distributors","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843280","Other machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","5.5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843290","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843311","Powered, with the cutting device rotating in a horizontal plane","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843319","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843320","Other mowers, including cutter bars for tractor mounting","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843330","Other haymaking machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843340","Straw or fodder balers, including pickup balers","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843351","Combine harvesterthreshers","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843352","Other threshing machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843353","Root or tuber harvesting machines","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843359","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843360","Machines for cleaning, sorting or grading eggs, fruit or other agricultural produce","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843390","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","4"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843410","Milking machines","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843420","Dairy machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843490","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843510","Machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843590","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843610","Machinery for preparing animal feeding stuffs","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843621","Poultry incubators and brooders","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843629","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843680","Other machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843691","Of poultrykeeping machinery or poultry incubators and brooders","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843699","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843710","Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843780","Other machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843790","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843810","Bakery machinery and machinery for the manufacture of macaroni, spaghetti or similar products","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843820","Machinery for the manufacture of confectionery, cocoa or chocolate","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843830","Machinery for sugar manufacture","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843840","Brewery machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843850","Machinery for the preparation of meat or poultry","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843860","Machinery for the preparation of fruits, nuts or vegetables","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843880","Other machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843890","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843910","Machinery for making pulp of fibrous cellulosic material","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843920","Machinery for making paper or paperboard","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843930","Machinery for finishing paper or paperboard","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843991","Of machinery for making pulp of fibrous cellulosic material","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","843999","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","6"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844010","Machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","11.3333333333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844090","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844110","Cutting machines","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844120","Machines for making bags, sacks or envelopes","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844130","Machines for making cartons, boxes, cases, tubes, drums or similar containers, other than by moulding","A","Annual","A","Annual","PCT","Percent","2016","","","","13"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844140","Machines for moulding articles in paper pulp, paper or paperboard","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844180","Other machinery","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844190","Parts","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844230","Machinery, apparatus and equipment","A","Annual","A","Annual","PCT","Percent","2016","","","","9"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844240","Parts of the foregoing machinery, apparatus or equipment","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844250","Plates, cylinders and other printing components; plates, cylinders and lithographic stones, prepared for printing purposes (for example, planed, grained or polished)","A","Annual","A","Annual","PCT","Percent","2016","","","","7"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","844311","Offset printing machinery, reelfed","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
