"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010620","Reptiles (including snakes and turtles)","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010631","Birds of prey","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010632","Psittaciformes (including parrots, parakeets, macaws and cockatoos)","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010633","Ostriches; emus (Dromaius novaehollandiae)","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010639","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","8"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010641","Bees","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010649","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","5"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","010690","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","3.33333333333333"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020110","Carcases and halfcarcases","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020120","Other cuts with bone in","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020130","Boneless","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020210","Carcases and halfcarcases","A","Annual","A","Annual","PCT","Percent","2016","","","","25"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020220","Other cuts with bone in","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020230","Boneless","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020311","Carcases and halfcarcases","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020312","Hams, shoulders and cuts thereof, with bone in","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020319","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020321","Carcases and halfcarcases","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020322","Hams, shoulders and cuts thereof, with bone in","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020329","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020410","Carcases and halfcarcases of lamb, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","15"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020421","Carcases and halfcarcases","A","Annual","A","Annual","PCT","Percent","2016","","","","23"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020422","Other cuts with bone in","A","Annual","A","Annual","PCT","Percent","2016","","","","15"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020423","Boneless","A","Annual","A","Annual","PCT","Percent","2016","","","","15"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020430","Carcases and halfcarcases of lamb, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","15"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020441","Carcases and halfcarcases","A","Annual","A","Annual","PCT","Percent","2016","","","","23"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020442","Other cuts with bone in","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020443","Boneless","A","Annual","A","Annual","PCT","Percent","2016","","","","15"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020450","Meat of goats","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020500","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020610","Of bovine animals, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020621","Tongues","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020622","Livers","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020629","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020630","Of swine, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020641","Livers","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020649","Other","A","Annual","A","Annual","PCT","Percent","2016","","","","12"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020680","Other, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020690","Other, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","18"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020711","Not cut in pieces, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020712","Not cut in pieces, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020713","Cuts and offal, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020714","Cuts and offal, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020724","Not cut in pieces, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020725","Not cut in pieces, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
